region,indeed,xing,linkedIn,stepStone,bfa
Hamburg,18,37,25,17,3
Berlin,23,22,40,11,4
Thüringen,51,23,10,10,6
Sachsen-Anhalt,51,20,9,11,9
Mecklenburg-Vorpommern,52,18,10,10,10
Sachsen,45,25,14,10,6
Hessen,27,29,28,12,4
Brandenburg,45,18,16,14,7
Saarland,41,26,15,9,9
Nordrhein-Westfalen,32,30,18,15,5
Bayern,28,29,26,12,5
Baden-Württemberg,27,30,24,15,4
Rheinland-Pfalz,37,26,18,12,7
Bremen,27,31,19,17,6
Niedersachsen,34,29,14,16,7
Schleswig-Holstein,33,28,14,19,6
