region,indeed,xing,linkedIn,stepStone,bfa
Brandenburg,,13,9,13,65
Saarland,,24,,25,51
Mecklenburg-Vorpommern,,8,8,21,63
Sachsen-Anhalt,,12,6,14,68
Schleswig-Holstein,,16,4,24,56
Thüringen,,12,5,29,54
Berlin,5,13,1,31,50
Niedersachsen,1,10,2,27,60
Rheinland-Pfalz,,16,3,23,58
Sachsen,,11,5,28,56
Nordrhein-Westfalen,1,9,2,33,55
Hamburg,2,16,3,38,41
Baden-Württemberg,0,9,2,34,55
Bayern,1,11,1,33,54
Bremen,,5,,38,57
Hessen,0,10,2,39,49
