region,xing,bfa,stepstone,linkedIn
Hamburg,55,5,24,16
Bayern,52,9,15,24
Hessen,52,8,16,24
Baden-Württemberg,51,8,19,22
Nordrhein-Westfalen,53,9,20,18
Bremen,51,11,22,16
Berlin,43,8,19,30
Schleswig-Holstein,48,11,27,14
Niedersachsen,52,12,21,15
Rheinland-Pfalz,48,11,18,23
Sachsen,52,13,20,15
Saarland,49,17,15,19
Thüringen,49,16,21,14
Brandenburg,40,15,25,20
Mecklenburg-Vorpommern,44,20,23,13
Sachsen-Anhalt,44,21,22,13
